,Standard Name,Summary
10,Air Miles,"The Air Miles Reward Program is a group of separately operated loyalty programs owned and operated by LoyaltyOne. The programs are available in Canada, the Netherlands and the Middle East. Points are earned on purchases at participating merchants and can be redeemed against flights with specific airlines."
11,Aldo Group,"The ALDO Group  branded as ALDO, is a Canadian multinational corporation retailer that owns and operates a worldwide chain of shoe and accessories stores. The company was founded by Aldo Bensadoun in Montreal, Quebec, in 1972, where its corporate headquarters based in the Montreal borough of Saint-Laurent, Quebec remain today. It has grown to become a worldwide corporation, with nearly 3,000 stores across 100 countries, under three retail banners: ALDO, Call It Spring/Spring and GLOBO. Stores in Canada, the U.S., the U.K., and Ireland are owned by the Group, while international stores are franchised. The company once operated the now closed or rebranded banners Little Burgundy (which it sold to Genesco), Simard & Voyer, Christian Shoes, Access, Pegabo, Transit, Stoneridge, Locale, Feetfirst and FIRST (which was the American version of Feetfirst).

"
12,AldrichPears Associates,"AldrichPears Associates is an interpretive planning and exhibit design firm based in Vancouver, British Columbia, Canada. They work for museums, science centers, interpretive centers, zoos, aquariums, botanical gardens, and children's museums around the world. 
AldrichPears Associates is best known for designing the exhibits at the Desert Living Center at the Las Vegas Springs Preserve, Nevada, a LEED-certified project that explores sustainable living in the desert and the Museo del Acero, a steel museum housed in a restored blast furnace, at Parque Fundidora. This museum interprets the scientific and cultural history of steelmaking in Mexico."
13,Algonquin Power & Utilities,"Algonquin Power & Utilities Corp. is a Canadian renewable energy and regulated utility conglomerate with assets across North America. Algonquin actively invests in hydroelectric, wind and solar power facilities, and utility businesses (water, natural gas, electricity), through its three operating subsidiaries: Bermuda Electric Light Company, Liberty Power and Liberty Utilities."
14,Allied Shipbuilders,"Allied Shipbuilders Ltd is a privately held shipbuilding and ship repairing company established in Canada in 1948.

"
15,Alta Newspaper Group,"Alta Newspaper Group Limited Partnership is a Vancouver-based publisher of newspapers in Western Canada and Quebec. It owns three small daily newspapers and more than a dozen weeklies.
Alta, also known as Alberta Newspaper Group and Southern Alberta Newspapers, is one of two Canadian newspaper companies run and partially owned by David Radler, a former business partner of Conrad Black in Hollinger Inc. Hollinger Inc. Both Alta and Continental Newspapers are descendants of Horizon Operations (Canada) Ltd., a company Radler founded at the end of the 1990s.

"
16,Alterra Power,"Alterra Power Corp. a subsidiary of Innergex Renewable Energy Inc., is a diversified renewable power generation company based in Vancouver, British Columbia, Canada.  It was formed in 2011 through the merger of Magma Energy Corp. and Plutonic Power Corp.  It develops, owns, acquires and operates hydroelectric, wind, solar energy and geothermal projects. On February 6, 2018, Innergex Renewable Energy Inc. completed the acquisition of Alterra including all its assets.

"
17,Angoss,"Angoss Software Corporation, headquartered in Toronto, Ontario, Canada, with offices in the United States and UK, acquired by Datawatch and now owned by Altair, was a provider of predictive analytics systems through software licensing and services. Angoss' customers represent industries including finance, insurance, mutual funds, retail, health sciences, telecom and technology. The company was founded in 1984, and publicly traded on the TSX Venture Exchange from 2008-2013 under the ticker symbol ANC.In June 2013 the private equity firm Peterson Partners acquired Angoss for $8.4 million.

"
18,Apotex,"Apotex Inc. is a Canadian pharmaceutical corporation. Founded in 1974 by Barry Sherman, the company is the largest producer of generic drugs in Canada, with annual sales exceeding CA$1 billion. By 2016, Apotex employed over 10,000 people as one of Canada's largest drug manufacturers, with over 300 products selling in over 115 countries. Revenues were about CA$1.19 billion annually. Apotex manufactures and distributes generic medications for a range of diseases and health conditions that include cancer, diabetes, high cholesterol, glaucoma, infections and blood pressure.
Apotex is a member of the Canadian Generic Pharmaceutical Association (CGPA), the Generic Pharmaceutical Association (GPhA), an associate member of the Canadian Animal Health Institute (CAHI), the Canadian Association for Pharmacy Distribution Management (CAPDM), as well as the Greater Toronto Area's Partners in Project Green."
19,Appnovation,"Appnovation is a global, full service digital consultancy firm with headquarters in Canada, specializing in web, intranet and mobile application development using open technologies  including Drupal and Alfresco, HTML5 frameworks like SproutCore and PhoneGap, as well as middleware, Big Data and business intelligence services using Mulesoft, Hadoop and MongoDB. Appnovation is one of five companies in Canada to achieve Platinum Partner status with Alfresco Software, Inc. and Enterprise Select Partner status with Acquia.

"
20,Arc'teryx,"Arc'teryx (stylized as ΛRC'TERYX) is a design company that sells outdoor clothing and climbing gear. The headquarters and design centre are located in North Vancouver, with a local manufacturing facility called  ""ARC’One"", located in New Westminster. There are overseas teams located in Munich, Shanghai and Tokyo. The company is currently a subsidiary of Chinese sportwear company Anta.
The name and logo of Arc'teryx refer to Archaeopteryx, one of the first birds and a transitional form between earlier dinosaurs and modern dinosaurs (more commonly known as birds). The logo, designed by graphic designer Micheal Hofler, is based on the ""Berlin specimen"", a fossil of the bird, the most complete skeleton found to date.
The company's products are sold at over eighty company-owned stores, in addition to 3,000 other retail locations.
There are more than 1,000 employees in North America (not including retail, sales representatives, and dealer services) and more than 1,200 employees globally.
Besides normal product lines, Arc'teryx's Leaf (Law Enforcement and Armed Forces) line is aimed at the military and police market. In the consumer and Internet market, it is often referred to as ""military birds"". Some of the collections are designed for their civilian counterparts, while others, such as Arc'teryx's Tango and Charlie backpacks, feature camouflage designs that are entirely geared toward the military. In the color, the military bird series is different from the ordinary product line, there are no rich bright colors. In contrast, military bird products use dark colors and military colors, such as Wolf Grey, Ranger Green, etc. Only a handful of products, such as the Alpha jacket, are currently made in Canada, while the rest, such as Assault Shirt, are made overseas, such as in El Salvador and Vietnam.
Arc'teryx also has a high-end business line called Veilance, which was introduced in Fall/Winter 2009,. Veilance specializes in urban-style and tech-forward clothing.

"
21,Orano Canada,"Orano Canada (formerly AREVA Resources Canada Inc.) is a uranium mining, milling, and exploration company headquartered in Saskatoon, Saskatchewan, Canada. Orano is a subsidiary of the Orano Group, an international nuclear energy company headquartered in Paris, France with 16,000 employees worldwide.

"
22,Aritzia,"Aritzia Inc. is a Canadian women's fashion brand founded in Vancouver, British Columbia, by Brian Hill in 1984. Aritzia sells a variety of lifestyle apparel through various upscale retail stores across Canada and the United States and online.

"
23,Arsenal Pulp Press,"Arsenal Pulp Press is a Canadian independent book publishing company, based in Vancouver, British Columbia. The company publishes a broad range of titles in both fiction and non-fiction, focusing primarily on underrepresented genres such as underground literature, LGBT literature, multiracial literature, graphic novels, visual arts, progressive and activist non-fiction and works in translation, and is noted for founding the annual Three-Day Novel Contest."
24,ATB Financial,"ATB Financial is a financial institution and Crown corporation wholly owned by the province of Alberta. Originally established as Alberta Treasury Branches in 1938, ATB Financial operates only in Alberta and provides financial services to over 800,000 Alberta residents and businesses. Headquartered in Edmonton, ATB Financial has over 5000 team members. 
ATB is not a chartered bank, meaning it is not regulated by the Canadian federal government under the Bank Act and associated regulations. ATB is instead regulated entirely by the Government of Alberta under the authority of the ATB Financial Act and associated regulations; the legislation is modeled on the statutes, regulations, and guidelines which govern banks and other federally chartered financial institutions. ATB is not a member of the Canada Deposit Insurance Corporation or Alberta's provincial Credit Union Deposit Guarantee Corporation; deposits are instead fully guaranteed by the Government of Alberta itself.  ATB Financial is one of fifteen financial institutions that participates in Canada's Large Value Transfer System."
25,ATI Technologies,"ATI Technologies Inc. (commonly called ATI, later known as Radeon Technologies Group) was a Canadian semiconductor technology corporation based in Markham, Ontario, that specialized in the development of graphics processing units and chipsets. Founded in 1985 as Array Technology Inc., the company listed publicly in 1993. Advanced Micro Devices (AMD) acquired ATI in 2006. As a major fabrication-less or fabless semiconductor company, ATI conducted research and development in-house and outsourced the manufacturing and assembly of its products. With the decline and eventual bankruptcy of 3dfx in 2000, ATI and its chief rival Nvidia emerged as the two dominant players in the graphics processors industry, eventually forcing other manufacturers into niche roles.
The acquisition of ATI in 2006 was important to AMD's strategic development of its Fusion generation of computer processors, which integrated general processing abilities with graphics processing functions within a chip. Since 2010, AMD's graphics processor products have ceased using the ATI brand name.

"
26,Atmosphere Visual Effects,"Atmosphere Visual Effects is a Canadian visual effects company. It was founded in Vancouver in 2003 by Andrew Karr, Tom Archer, and Jeremy Hoey, ex-employees of Vancouver-based visual effects company GVFX, after said company folded in that year. They have worked on a number of science fiction shows, including the reimagined Battlestar Galactica, Stargate Atlantis, The 4400, Andromeda, and Babylon 5: The Lost Tales.Their work on the new Battlestar Galactica has been nominated for several awards. Their work on the episode ""The Hand of God"" was nominated for an Emmy in 2005. They have been nominated for two Visual Effects Society awards in 2006, for the episodes ""Exodus"" and ""Downloaded"".

"
27,Ballard Power Systems,"Ballard Power Systems Inc. is a developer and manufacturer of proton exchange membrane (PEM) fuel cell products for markets such as heavy-duty motive (consisting of bus and tram applications), portable power, material handling as well as engineering services. Ballard has designed and shipped over 400 MW of fuel cell products to date."
28,Banff Lodging Co,"Banff Lodging Company is  a locally owned and operated hospitality company in the Banff National Park.

"
29,Bank of Montreal,"The Bank of Montreal (BMO; French: Banque de Montréal) is a Canadian multinational investment bank and financial services company.
The bank was founded in Montreal, Quebec, in 1817 as Montreal Bank; while its head office remains in Montreal, the operational headquarters and executive offices have been located in Toronto, Ontario since 1977. One of the Big Five banks in Canada, it is the fourth-largest bank in Canada by market capitalization and assets, and one of the ten largest banks in North America. It is commonly known by its acronym BMO (pronounced ), which is also its stock symbol on both the Toronto Stock Exchange and the New York Stock Exchange. In October 2021, it had CAD$634 billion in assets under administration (AUA). The Bank Of Montreal swift code is BOFMCAM2 and the institution number is 001.On 23 June 1817, John Richardson and eight merchants signed the Articles of Association to establish the Montreal Bank in a rented house in Montreal, Quebec. The bank officially began conducting business on 3 November 1817, making it Canada's oldest bank. It underwent a name change to its current in 1822. BMO's Institution Number (or bank number) is 001.  In Canada, the bank operates as BMO Bank of Montreal and has more than 900 branches, serving over seven million customers. In the United States, it does business as BMO Financial Group, where it has substantial operations in the Chicago area and elsewhere in the country, where it operates BMO Harris Bank. BMO Capital Markets is BMO's investment and corporate banking division, while the wealth management division is branded as BMO Nesbitt Burns. The company is ranked at number 131 on the Forbes Global 2000 list.The company has not missed a dividend payment since 1829, paying dividends consistently through major world crises such as World War I, the Great Depression, World War II, and the 2008 financial crisis; this makes the Bank of Montreal's dividend payment history one of the longest in the world.On December 12, 2021 Bank of Montreal announced the strategic acquisition of Bank of the West from BNP Paribas for US$16.3 billion."
30,Bard Ventures,"Bard Ventures Ltd. (TSX-V: CBS) was a Canadian mining and exploration company headquartered in Vancouver. The company conducted exploratory drilling to assess mineral rights within the Lone Pine Molybdenum Property outside of Houston, British Columbia, specifically focusing on molybdenum. The company has also held interests in several other projects, including a 50% interest in the Wasi Creek Zinc Lead Silver Project, outside of Mackenzie, British Columbia.

"
31,Barrick Gold,"Barrick Gold Corporation is a mining company that produces gold and copper with 16 operating sites in 13 countries. It is headquartered in Toronto, Ontario, Canada. It has mining operations in Argentina, Canada, Chile, Côte d'Ivoire, Democratic Republic of the Congo, Dominican Republic, Mali, Papua New Guinea, Saudi Arabia, Tanzania, the United States and Zambia. In 2019, it produced 5.5 million ounces of gold at all-in sustaining costs of $894/ounce and 432 million pounds of copper at all-in sustaining costs of $2.52/pound. As of December 31, 2019, the company had 71 million ounces of proven and probable gold reserves.Barrick has met or beaten market consensus on its financial and operating results for eleven consecutive quarters as of Q3 2021.Barrick had been the world's largest gold mining company until Newmont Corporation acquired Goldcorp in 2019. Barrick expects to produce between 4.6 and five million ounces of gold and between 440 and 500 million pounds of copper in 2020.Chief executive Mark Bristow has said Barrick has debated moving its primary stock listing to the New York Stock Exchange from the Toronto Stock Exchange, allowing it to be traded on the S&P 500 Index and broadening its exposure to potential investors."
32,BBC Kids,"BBC Kids is the international children's brand of BBC Studios (nee BBC Worldwide), and has been applied to a number of TV channels. It draws from the long history of children's programming on the BBC, and is strongly related to the current channels CBBC and CBeebies in the United Kingdom.

"
33,BC Hydro,"The British Columbia Hydro and Power Authority, operating as BC Hydro, is a Canadian electric utility in the province of British Columbia. It is the main electricity distributor, serving 1.8 million customers in most areas, with the exception of the City of New Westminster, where the city runs its own electrical department and portions of the West Kootenay, Okanagan, the Boundary Country and Similkameen regions, where FortisBC, a subsidiary of Fortis Inc. directly provides electric service to 213,000 customers and supplies municipally owned utilities in the same area. As a provincial Crown corporation, BC Hydro reports to the BC Ministry of Energy, Mines and Low Carbon Innovation, and is regulated by the British Columbia Utilities Commission (BCUC). Its mandate is to generate, purchase, distribute and sell electricity.
BC Hydro operates 32 hydroelectric facilities and three natural gas-fueled thermal power plants.  As of 2014, 95 per cent of the province's electricity was produced by hydroelectric generating stations, which consist mostly of large hydroelectric dams on the Columbia and Peace rivers. BC Hydro's various facilities generate between 43,000 and 54,000 gigawatt hours of electricity annually, depending on prevailing water levels. BC Hydro's nameplate capacity is about 11,000 megawatts.Electricity is delivered through a network of 18,286 kilometers of transmission lines and 55,254 kilometers of distribution lines. For the 2013-2014 fiscal year, the domestic electric sales volume was 53,018 gigawatt hours, revenue was CA$5.392 billion and net income was CA$549 million.

"
34,BC Research,"BC Research Inc. is a privately owned Canadian process technology incubator, specializing in custom research, process development and technology commercialization. Headquartered in downtown Vancouver, British Columbia, BC Research operates primarily from their ""Technology Commercialization and Innovation Centre"" on Mitchell Island in the Vancouver suburb of Richmond. This 40,000 sq-ft facility includes a 28,000 sq-ft pilot plant development area (30 ft vertical clearance), 2,500 sq-ft laboratory space, 9,000 sq-ft of office space, as well as a small machine shop and fenced outdoor piloting space. Technologies are scaled up from concept to pilot or demonstration scale in preparation for commercialization. Engineering support is provided by parent company NORAM Engineering and Constructors Ltd, which specializes in process development and commercialization in 6 industrial business areas with plant installations around the world.
Previously, BC Research occupied a 180,000-square-foot (17,000 m2) scientific research and development company located at the BC Research and Innovation Complex at the south end of the University of British Columbia campus. This facility closed in November 2007. The company specialized in consulting and applied research and development in the area of plant biotechnology and environment, health and safety, process and analysis, transportation and ship dynamics.
The company can be traced back to 1944 as it developed from the non-profit BC Research Council to a private company in 1993, founded by Dr. Hugh Wynne-Edwards, Ph.D, DSc., FRSC, a member of the Order of Canada, who served as the founding Chief Executive Officer and developed the facility into one of Canada's most recognized incubators in the fields of biotechnology, drug discovery and alternative fuel technologies.
In 2000, BC Research was purchased by Immune Network Ltd and was sold to Cromedica (now PRA International) in July 2001 for a consideration of $8.3 million according to 2001 audited financials published on SEDAR. Its plant biotechnology team was mostly spun off in Silvagen Inc. which specialized in clonal reforestation and which became a part of CellFor.  In 1999 Azure Dynamics, a hybrid commercial vehicle systems developer, was formed with some of the transportation team and left the facility in 2004 having gone public in 2001 as Azure Dynamics Corporation. Radient Technologies, Inc., specializing in microwave-assisted natural product extraction, purification and isolation, was also spun off in 2001 as a joint venture with Environment Canada. The remaining laboratory and consulting business functions continued under the name Vizon SciTec until August 2006 when CANTEST Ltd. announced its acquisition from BC Research Inc. which continues as a privately held technology holding company.
In May 2007, the former Industrial Process Division of BC Research was acquired by Kemetco Research Inc., providers of contract research, process development and laboratory testing services to industry, primarily in mining, metallurgy and chemical processing.   

Finally in 2010, BC Research Inc. (BCRI), opened again for business in Burnaby, B.C.  Their board of directors was composed of Kemetco and NORAM Engineering and Constructors Ltd. business and technology leaders. The Company continued to provide specialized consulting and applied research and development in an expanding number of different technologies and  industries, including fluidized beds, storage of energy in batteries, fuel cells, electrochemical cells, corrosion testing and analysis, hydrogen, sulfur, chlorine, nitration, water treatment, and pulp and paper chemistry.

In 2017, BCRI moved to a newly constructed facility on Mitchell Island in Vancouver B.C. to expand their capabilities. BC Research Inc. is now a wholly owned subsidiary of the NORAM group, a private, vertically integrated portfolio of businesses serving process scale-up, engineering, R&D, pilot plants, demonstration plants, modular plants, custom fabrication, and site assistance."
35,Becker's,"Becker's is a Canadian chain of independent convenience stores selling products of Alimentation Couche-Tard company. The original Becker Milk Company was founded in 1957 in Toronto, Ontario. The chain grew from 5 to 500 stores and was sold in 2006 to Alimentation Couche-Tard. The company converted the company-owned stores to Mac's Milk and later to Circle K, leaving a remnant of affiliate Becker's stores. Starting in 2013, Alimentation Couche-Tard began expanding the affiliate program. There are now over 40 stores in Ontario.

"
36,Bell Canada,"Bell Canada (commonly referred to as Bell) is a Canadian telecommunications company headquartered at 1 Carrefour Alexander-Graham-Bell in the borough of Verdun in Montreal, Quebec, Canada. It is an ILEC (incumbent local exchange carrier) in the provinces of Ontario and Quebec; as such, it was a founding member of the Stentor Alliance. It is also a CLEC (competitive local exchange carrier) for enterprise customers in the western provinces.
Its subsidiary Bell Aliant provides services in the Atlantic provinces. It provides mobile service through its Bell Mobility (including flanker brand Virgin Mobile Canada) subsidiary, and television through its Bell Satellite TV (direct broadcast satellite) and Bell Fibe TV (IPTV) subsidiaries.
Bell Canada's principal competitors are Rogers Communications in Ontario, Telus and Shaw Communications in Western Canada, and Quebecor (Videotron) and Telus in Quebec. The company serves over 13 million phone lines and is headquartered at the Campus Bell complex in the borough of Verdun in Montreal.Bell Canada is one of the main assets of the holding company BCE Inc., formerly known as Bell Canada Enterprises. In addition to the Bell Canada telecommunications properties, BCE also owns Bell Media (which operates mass media properties including the national CTV Television Network) and holds significant interests in the Montreal Canadiens ice hockey club and Maple Leaf Sports & Entertainment, owner of several Toronto professional sports franchises. BCE ranked number 301 on the 2021 edition of the Forbes Global 2000 list."
37,Bell MTS,"Bell MTS Inc. (formerly Manitoba Telecom Services) is a subsidiary of BCE Inc. that operates telecommunications services in Manitoba. Bell MTS is the naming rights holder of a venue in Winnipeg, the Bell MTS Iceplex.
Originally established as Manitoba Government Telephones after the Government of Manitoba purchased the Manitoba assets of Bell Canada, the corporation was privatized in 1996. On March 17, 2017, Bell regained control of MTS after the Bell Canada group's holding company BCE Inc. closed its $3.9 billion acquisition of the provider and, for regulatory reasons, Bell divested approximately one third of MTS's wireless business (including subscribers and retail outlets) to Telus, and a smaller portion to the new entrant Xplornet. Under Bell ownership, Bell MTS will serve as the headquarters of Bell's telecom businesses in western Canada.

"
38,Ben Moss Jewellers,"Ben Moss Jewellers is a Canadian jewellery store company.

"
39,Bennett Environmental,"Bennett Environmental Inc. was a company based in Oakville, Ontario, Canada.  It specialized in the recovering of soils contaminated with chlorinated hydrocarbons, including PCBs and PCPs, Dioxins and Furans. The company was founded in 1991 and had 79 employees.  The company sold the soil treatment facility in 2013 and ceased operations as an environmental company.
The shell later transformed into Diversified Royalty Corp, specializing in franchise royalty agreements including Mr. Lube, Sutton Realty, and Franworks restaurants.In 2016, John Bennett, the founder and former CEO of Bennett Environmental was convicted of conspiring to pay kickbacks and committing major fraud against the United States in attempts to win contaminated soil contracts. He was sentenced to 63 months in prison.

"
40,Big Blue Bubble,"Big Blue Bubble, Inc. is a Canadian developer, and publisher of mobile video games headquartered in London, Ontario, Canada, with an office in San Francisco, California. The company is best known for the My Singing Monsters mobile game franchise. It was acquired by Swedish company Enad Global 7 on August 27, 2020.

"
41,BigPark,BigPark was a Canadian video game developer owned by Microsoft Studios.
42,Biovail,"Biovail Corporation was a Canadian pharmaceutical company, operating internationally in all aspects of pharmaceutical products.  Its major production facility was located in Steinbach, Manitoba. It merged with Valeant Pharmaceuticals International in 2010.

"
43,BioWare,"BioWare is a Canadian video game developer based in Edmonton, Alberta. It was founded in 1995 by newly graduated medical doctors Ray Muzyka, Greg Zeschuk and Augustine Yip, alongside Trent Oster, Brent Oster, and Marcel Zeschuk. Since 2007, the company has been owned by American publisher Electronic Arts.
BioWare specializes in role-playing video games, and achieved recognition for developing highly praised and successful licensed franchises: Baldur's Gate, Neverwinter Nights, and Star Wars: Knights of the Old Republic. They proceeded to make several other successful games based on original intellectual property: Jade Empire, the Mass Effect series, and the Dragon Age series. In 2011, BioWare launched their first massively multiplayer online role-playing game, Star Wars: The Old Republic."
44,Bison Transport,"Bison Transport is one of Canada's largest trucking companies.
Based in Winnipeg, Manitoba, Canada, Bison Transport was incorporated in 1969 by owner Duncan M. Jessiman. Bison has since grown from 18 tractors and 32 employees to over 2100 trucks and 6000 trailers with over 3700 employees and contractors.Bison Transport operates 6 key terminal hubs in Canada, located in Winnipeg, Mississauga, Edmonton, Calgary, Regina, and Langley. Cross-border truckload transportation is provided from British Columbia through the Maritimes and to 48 U.S. states.
Bison's divisions include Dry Van, Long Combination Vehicle (LCV), Refrigerated, Intermodal, Asset-Based Logistics, Less Than Truckload, and Warehousing and Distribution. The company was mentioned as the 'Best Fleet to Drive For' by the Truckload Carriers Association and CarriersEdge in 2018.On 5 January 2021, it was confirmed by news sources that James Richardson & Sons had purchased the company.

"
45,Black Diamond Cheese,"Black Diamond Cheese Limited is a cheese manufacturing company in Canada. Black Diamond employs approximately 470 people at its factory in Belleville, Ontario, and its products can be found at most major retailers in Canada. The company has been owned by Parmalat Canada since 1998. In the United States, the brand is licensed to DCI Cheese in Wisconsin.
Black Diamond was established in 1933 by Robert F. Hart.  Founded under the name ""Belleville Cheddar Cheese Limited"", its original purpose was to export aged Canadian cheddar to the British market. Black Diamond was purchased by Brooke Bond in 1968. In 1984, Brooke Bond became part of Unilever, which divested Black Diamond to Canada Packers in 1987. Canada Packers then sold the plant to major dairy Ault Foods in 1991, which after several divestments was sold to Parmalat Canada in 1997.

"
46,Black Hen Music,"Black Hen Music is a Canadian independent record label founded in Vancouver, British Columbia in 1995. The music label was established by record producer and musician Steve Dawson of the band Zubot and Dawson. Black Hen Music began releasing albums in 1996 and is distributed in Canada by Fontana North, in Europe and the UK by Continental Record Services, and in the US by Burnside Distribution."
47,Black Press,"Black Press Group Ltd. is a Canadian publisher of prominent daily newspapers in Hawaii and Ohio, and numerous non-daily newspapers in Alberta and British Columbia, Canada, and (via Sound Publishing) the U.S. state of Washington.
Black Press Media is headquartered in Surrey, British Columbia, and has regional offices in Victoria, Williams Lake, and Kelowna.The company is administered and majority owned by David Holmes Black (no relation to Canadian-born media mogul Conrad Black). The company is 20% owned by Torstar, publisher of the Toronto Star, and David Black's former employer."
48,Blacks Photo Corporation,"Blacks Photography, stylized as BLACKS (formerly Black's), is a Canadian online retailer of photo prints and personalized photo products, home decor items, and photofinishing services.  It is headquartered in Montreal, Quebec, Canada.
Prior to 2015, Blacks was a brick and mortar retail chain focusing on photography equipment and processing since 1939. However, due to declining business in part to the rise of digital photography and camera phones, the chain closed on August 4, 2015. Blacks' domain and app assets were sold to Montreal-based Les Pros de la Photo, Canada's largest wholesale photofinsher, which has taken over and operates it as an online business.

"
